Instance1_2s_30c_4v.txt;10;2309.38
Instance1_2s_30c_4v.txt;30;2166.49
Instance1_2s_30c_4v.txt;60;2143.99
Instance2_2s_30c_4v.txt;10;2112.21
Instance2_2s_30c_4v.txt;30;2104.05
Instance2_2s_30c_4v.txt;60;1972.74
Instance2_2s_40c_4v.txt;10;2116.12
Instance2_2s_40c_4v.txt;30;1998.96
Instance2_2s_40c_4v.txt;60;2027.44
Instance3_2s_40c_4v.txt;10;2140.04
Instance3_2s_40c_4v.txt;30;2144.84
Instance3_2s_40c_4v.txt;60;2104.43
Instance4_2s_40c_4v.txt;10;2254.32
Instance4_2s_40c_4v.txt;30;2059.37
Instance4_2s_40c_4v.txt;60;2170.92
Instance4_3s_45c_6v.txt;10;3597.62
Instance4_3s_45c_6v.txt;30;3663.97
Instance4_3s_45c_6v.txt;60;3610.81
NewInstance3_2s_40c_4v.txt;10;2126.34
NewInstance3_2s_40c_4v.txt;30;2037.12
NewInstance3_2s_40c_4v.txt;60;1876.62
NewInstance4_2s_40c_4v.txt;10;2386.26
NewInstance4_2s_40c_4v.txt;30;2358.41
NewInstance4_2s_40c_4v.txt;60;2021.6
NewInstance4_3s_45c_6v.txt;10;3144.44
NewInstance4_3s_45c_6v.txt;30;3283.46
NewInstance4_3s_45c_6v.txt;60;3348.07
