Obj;60
Time;2934.67
Vehicle;Orig;Dest;Dist;Rel;Dead;ServTime;DemDest;ArrTimeDest;ArrBattDest;ArrLoadDest;RecTime;PlugUsed;StartRecharging
1;0;29;32.6873;1.33;13.3;0.34;43;1.33;9.46254;184;0;0;0
1;29;17;2.67845;15.58;34.65;0.39;49;15.58;8.92685;141;0;0;0
1;17;27;2.88376;13.57;32.53;0.3;25;16.0277;8.3501;92;0;0;0
1;27;25;1.73277;2.52;16.42;0.48;44;16.3623;8.00355;67;0;0;0
1;25;21;2.23215;14.91;35.31;0.23;23;16.887;7.55712;23;0;0;0
1;21;0;35.7249;0;0;0;0;17.8315;0.412136;0;0;0;0
2;0;0;0;0;0;0;0;0;16;0;0;0;0
3;0;16;38.5858;7.91;24.78;0.52;47;7.91;8.28284;307;0;0;0
3;16;26;3.52456;6.76;22.96;0.23;21;8.50049;7.57793;260;0;0;0
3;26;22;2.0102;2.14;14.27;0.49;41;8.77069;7.17589;239;0;0;0
3;22;24;1.51268;8.1;24.27;0.3;30;9.29095;6.87335;198;0;0;0
3;24;30;4.07139;14.02;32.26;0.35;32;14.02;6.05907;168;0;0;0
3;30;23;5.49444;11.63;29.73;0.27;34;14.4799;4.96019;136;0;0;0
3;23;28;4.86174;2.68;15.49;0.34;28;14.8471;3.98784;102;0;0;0
3;28;18;2.20327;5.17;20.69;0.49;45;15.2312;3.54718;74;0;0;0
3;18;48;1.0949;0;0;0;0;15.7431;3.3282;29;5.51759;1;15.7431
3;48;20;2.95;13.55;32.68;0.32;29;21.3197;8.25579;29;0;0;0
3;20;0;41.279;0;0;0;0;22.4653;1e-09;29;0;0;0
4;0;47;53.033;0;0;0;0;1.06066;5.3934;452;6.13863;1;1.06066
4;47;44;4.37749;6.36;19.01;0.32;36;7.28684;10.6565;452;0;0;0
4;44;41;1.2516;11.56;28.7;0.32;35;11.56;10.4062;452;0;0;0
4;41;40;2.86372;10.59;28.55;0.27;30;11.9373;9.83346;417;0;0;0
4;40;34;2.53237;2.06;14.41;0.34;34;12.2579;9.32699;387;0;0;0
4;34;39;3.79803;4.68;18.88;0.37;31;12.6739;8.56738;353;0;0;0
4;39;35;3.18442;9.27;26.45;0.35;32;13.1076;7.9305;322;0;0;0
4;35;31;2.60292;13.65;33.2;0.29;29;13.65;7.40992;290;0;0;0
4;31;33;0.376563;12.73;30.46;0.33;30;13.9475;7.3346;261;0;0;0
4;33;37;5.5316;11.34;28.68;0.54;49;14.3882;6.22828;231;0;0;0
4;37;38;2.38008;10.26;27.31;0.27;34;14.9758;5.75227;182;0;0;0
4;38;32;1.84838;14.15;22.25;0.3;33;15.2827;5.38259;148;0;0;0
4;32;45;4.28812;5.64;18.34;0.33;30;15.6685;4.52497;115;0;0;0
4;45;36;3.45046;12.34;26.2;0.59;49;16.0675;3.83487;85;0;0;0
4;36;46;19.1744;0;0;0;0;17.041;1e-09;36;7.90569;1;17.041
4;46;0;39.5285;0;0;0;0;25.7373;1e-09;36;0;0;0
5;0;10;35.5646;5.18;18.96;0.21;26;5.18;8.88709;243;0;0;0
5;10;6;1.09895;13.94;32.85;0.24;20;13.94;8.66729;217;0;0;0
5;6;9;4.02852;8.36;24.5;0.39;43;14.2606;7.86159;197;0;0;0
5;9;2;3.70827;15.48;35.37;0.31;28;15.48;7.11993;154;0;0;0
5;2;11;3.21753;10.97;27.71;0.32;35;15.8544;6.47643;126;0;0;0
5;11;3;2.42211;11.83;30.51;0.35;29;16.2228;5.99201;91;0;0;0
5;3;14;4.76624;9.59;25.54;0.31;39;16.6681;5.03876;62;0;0;0
5;14;7;4.32348;14.76;29.27;0.23;23;17.0646;4.17406;23;0;0;0
5;7;46;6.60283;0;0;0;0;17.4266;2.8535;0;5.0522;1;24.9467
5;46;0;39.5285;0;0;0;0;30.7895;9.99999e-10;0;0;0;0
6;0;1;41.573;9.15;25.3;0.34;38;9.15;7.68539;336;0;0;0
6;1;5;5.82138;5.07;19.95;0.29;36;9.60643;6.52112;298;0;0;0
6;5;13;1.97464;9.27;26.82;0.44;40;9.93592;6.12619;262;0;0;0
6;13;12;8.70325;2.73;15.99;0.24;27;10.55;4.38554;222;0;0;0
6;12;8;0.367696;8.38;25.4;0.24;24;10.7973;4.312;195;0;0;0
6;8;4;0.402616;10.89;28.37;0.39;35;11.0454;4.23148;171;0;0;0
6;4;15;0.971288;6.44;20.7;0.41;46;11.4548;4.03722;136;0;0;0
6;15;47;20.1695;0;0;0;0;12.2682;0.00331166;90;5.27905;1;12.2682
6;47;42;3.81014;9.61;26.98;0.51;46;17.6235;4.52033;90;0;0;0
6;42;43;3.19165;12.38;27.08;0.18;22;18.1973;3.882;90;0;0;0
6;43;19;15.8885;12.59;31.1;0.24;22;18.6951;0.704301;68;0;0;0
6;19;48;3.52151;0;0;0;0;19.0055;9.99999e-10;46;7.90569;1;21.2607
6;48;0;39.5285;0;0;0;0;29.9569;1e-09;46;0;0;0
