Obj;60
Time;3331.31
Vehicle;Orig;Dest;Dist;Rel;Dead;ServTime;DemDest;ArrTimeDest;ArrBattDest;ArrLoadDest;RecTime;PlugUsed;StartRecharging
1;0;29;32.6873;1.33;3.3;0.34;43;1.33;9.46254;321;0;0;0
1;29;25;5.27277;2.52;6.42;0.48;44;2.52;8.40799;278;0;0;0
1;25;28;4.87591;2.68;5.49;0.34;28;3.09752;7.43281;234;0;0;0
1;28;22;5.1399;2.14;4.27;0.49;41;3.54032;6.40483;206;0;0;0
1;22;26;2.0102;6.76;12.96;0.23;21;6.76;6.00279;165;0;0;0
1;26;16;3.52456;7.91;14.78;0.52;47;7.91;5.29788;144;0;0;0
1;16;27;1.99249;13.57;22.53;0.3;25;13.57;4.89938;97;0;0;0
1;27;21;2.67152;14.91;25.31;0.23;23;14.91;4.36508;72;0;0;0
1;21;48;4.09497;0;0;0;0;15.2219;3.54608;49;4.53327;1;15.2219
1;48;17;5.47877;15.58;24.65;0.39;49;19.8647;6.9836;49;0;0;0
1;17;0;34.918;0;0;0;0;20.9531;1e-09;49;0;0;0
2;0;18;40.6103;5.17;10.69;0.49;45;5.17;7.87793;192;0;0;0
2;18;48;1.0949;0;0;0;0;5.6819;7.65895;147;4.19672;1;5.6819
2;48;20;2.95;13.55;22.68;0.32;29;13.55;11.2657;147;0;0;0
2;20;24;3.20395;8.1;14.27;0.3;30;13.9341;10.6249;147;0;0;0
2;24;30;4.07139;14.02;22.26;0.35;32;14.3155;9.81061;117;0;0;0
2;30;23;5.49444;11.63;19.73;0.27;34;14.7754;8.71172;85;0;0;0
2;23;19;3.22374;12.59;21.1;0.24;22;15.1099;8.06697;51;0;0;0
2;19;0;40.3349;0;0;0;0;16.1566;9.99998e-10;29;0;0;0
3;0;34;53.4518;2.06;4.41;0.34;34;2.06;5.30964;204;0;0;0
3;34;39;3.79803;4.68;8.88;0.37;31;4.68;4.55004;170;0;0;0
3;39;42;8.43515;9.61;16.98;0.51;46;9.61;2.86301;139;0;0;0
3;42;44;1.82571;6.36;12.01;0.32;36;10.1565;2.49787;93;0;0;0
3;44;41;1.2516;11.56;18.7;0.32;35;11.56;2.24755;57;0;0;0
3;41;43;0.813204;12.38;20.08;0.18;22;12.38;2.08491;22;0;0;0
3;43;47;5.71638;0;0;0;0;12.6743;0.94163;0;9.66497;1;12.6743
3;47;0;53.033;0;0;0;0;23.4;1e-09;0;0;0;0
4;0;10;35.5646;5.18;8.96;0.21;26;5.18;8.88709;459;0;0;0
4;10;46;4.69988;0;0;0;0;5.484;7.94711;433;3.09314;1;5.484
4;46;9;1.01597;8.36;14.5;0.39;43;8.59745;10.8371;433;0;0;0
4;9;1;3.16659;9.15;15.3;0.34;38;9.15;10.2037;433;0;0;0
4;1;5;5.82138;5.07;9.95;0.29;36;9.60643;9.03946;395;0;0;0
4;5;45;13.8921;5.64;10.34;0.33;30;10.1743;6.26104;359;0;0;0
4;45;36;3.45046;12.34;20.2;0.59;49;12.34;5.57095;329;0;0;0
4;36;32;4.6619;14.15;22.25;0.3;33;14.15;4.63857;280;0;0;0
4;32;38;1.84838;10.26;17.31;0.27;34;14.487;4.26889;247;0;0;0
4;38;37;2.38008;11.34;18.68;0.54;49;14.8046;3.79288;213;0;0;0
4;37;33;5.5316;12.73;20.46;0.33;30;15.4552;2.68656;164;0;0;0
4;33;31;0.376563;13.65;23.2;0.29;29;15.7927;2.61124;134;0;0;0
4;31;35;2.60292;9.27;16.45;0.35;32;16.1348;2.09066;105;0;0;0
4;35;40;5.08655;10.59;18.55;0.27;30;16.5865;1.07335;73;0;0;0
4;40;47;5.36675;0;0;0;0;16.9639;9.99999e-10;43;10.6066;1;22.3393
4;47;0;53.033;0;0;0;0;34.0066;1e-09;43;0;0;0
5;0;12;37.1003;2.73;5.99;0.24;27;2.73;8.57993;132;0;0;0
5;12;8;0.367696;8.38;15.4;0.24;24;8.38;8.50639;105;0;0;0
5;8;15;1.36092;6.44;10.7;0.41;46;8.64722;8.23421;81;0;0;0
5;15;4;0.971288;10.89;18.37;0.39;35;10.89;8.03995;35;0;0;0
5;4;0;37.0976;0;0;0;0;12.022;0.620437;0;0;0;0
6;0;7;34.6677;14.76;23.27;0.23;23;14.76;9.06647;214;0;0;0
6;7;14;4.32348;9.59;15.54;0.31;39;15.0765;8.20177;191;0;0;0
6;14;3;4.76624;11.83;20.51;0.35;29;15.4818;7.24852;152;0;0;0
6;3;11;2.42211;10.97;17.71;0.32;35;15.8802;6.7641;123;0;0;0
6;11;2;3.21753;15.48;25.37;0.31;28;16.2646;6.1206;88;0;0;0
6;2;13;5.07099;9.27;16.82;0.44;40;16.676;5.1064;60;0;0;0
6;13;6;10.8411;13.94;22.85;0.24;20;17.3328;2.93818;20;0;0;0
6;6;46;4.05216;0;0;0;0;17.6539;2.12775;0;5.77794;1;17.6539
6;46;0;39.5285;0;0;0;0;24.2224;1e-09;0;0;0;0
