Obj;60
Time;1951.63
Vehicle;Orig;Dest;Dist;Rel;Dead;ServTime;DemDest;ArrTimeDest;ArrBattDest;ArrLoadDest;RecTime;PlugUsed;StartRecharging
1;0;2;37.3181;1.91;8.17;0.37;46;1.91;9.40229;397;0;0;0
1;2;9;0.901388;8.93;27.97;0.43;36;8.93;9.26708;351;0;0;0
1;9;16;3.74973;8.26;26.92;0.22;24;9.43499;8.70462;315;0;0;0
1;16;1;1.97101;3.54;13.07;0.22;27;9.69442;8.40897;291;0;0;0
1;1;8;5.04079;3.4;12.75;0.51;46;10.0152;7.65285;264;0;0;0
1;8;13;3.59539;10.89;34.57;0.47;47;10.89;7.11354;218;0;0;0
1;13;17;1.66208;15.85;49.35;0.22;20;15.85;6.86423;171;0;0;0
1;17;4;1.89433;9.98;31.47;0.2;20;16.1079;6.58008;151;0;0;0
1;4;7;3.45615;10.85;34.44;0.37;34;16.377;6.06166;131;0;0;0
1;7;10;0.912853;14.46;46.12;0.33;33;16.7653;5.92473;97;0;0;0
1;10;15;0.901388;13.88;44.53;0.34;28;17.1133;5.78952;64;0;0;0
1;15;19;1.71082;11.29;35.2;0.4;36;17.4875;5.5329;36;0;0;0
1;19;0;34.5878;0;0;0;0;18.5793;0.344721;0;0;0;0
2;0;20;34.6708;1.17;4.86;0.4;45;1.17;9.79938;305;0;0;0
2;20;11;2.40187;1.94;8.09;0.2;20;1.94;9.4391;260;0;0;0
2;11;5;1.28413;7.51;25.4;0.34;34;7.51;9.24648;240;0;0;0
2;5;3;1.90591;2.95;11.81;0.36;45;7.88812;8.9606;206;0;0;0
2;3;14;1.21659;7.66;24.02;0.53;48;8.27245;8.77811;161;0;0;0
2;14;18;6.87309;4.54;16.34;0.29;29;8.93991;7.74714;113;0;0;0
2;18;6;5.72603;8.62;27;0.44;49;9.34443;6.88824;84;0;0;0
2;6;12;1.29808;14.12;44.06;0.39;35;14.12;6.69353;35;0;0;0
2;12;41;11.6459;0;0;0;0;14.7429;4.94664;0;0.101953;1;14.7429
2;41;0;33.6573;0;0;0;0;15.518;9.99999e-10;0;0;0;0
3;0;37;38.293;1.91;7.61;0.42;47;1.91;9.25605;426;0;0;0
3;37;23;1.12004;7.41;24.55;0.39;43;7.41;9.08804;379;0;0;0
3;23;35;2.09029;10.27;32.37;0.23;23;10.27;8.7745;336;0;0;0
3;35;28;1.1507;8.27;26.26;0.34;42;10.523;8.60189;313;0;0;0
3;28;25;4.59922;4.31;14.31;0.54;49;10.955;7.91201;271;0;0;0
3;25;22;0.907083;11.55;35.92;0.38;48;11.55;7.77595;222;0;0;0
3;22;27;3.72388;4.89;16.22;0.3;38;12.0045;7.21737;174;0;0;0
3;27;38;0.219317;4.37;15.94;0.4;33;12.3089;7.18447;136;0;0;0
3;38;30;0.294109;12.19;38.55;0.36;30;12.7147;7.14035;103;0;0;0
3;30;36;8.08154;8.65;28.02;0.31;39;13.2364;5.92812;73;0;0;0
3;36;34;0.66242;14.56;44.91;0.37;34;14.56;5.82876;34;0;0;0
3;34;0;35.5972;0;0;0;0;15.6419;0.489183;0;0;0;0
4;0;21;35.2603;4.11;15.14;0.44;40;4.11;9.71096;288;0;0;0
4;21;29;1.28082;6.34;21.28;0.37;46;6.34;9.51884;248;0;0;0
4;29;31;5.24157;10.21;32.26;0.41;34;10.21;8.7326;202;0;0;0
4;31;24;1.14337;5.95;20.05;0.3;25;10.6429;8.56109;168;0;0;0
4;24;33;1.82003;13.49;42.04;0.41;34;13.49;8.28809;143;0;0;0
4;33;40;0.857963;6.52;21.18;0.32;29;13.9172;8.1594;109;0;0;0
4;40;39;4.75164;11.4;35.42;0.23;25;14.3322;7.44665;80;0;0;0
4;39;32;0.24;5.73;18.46;0.25;25;14.567;7.41065;55;0;0;0
4;32;26;5.49015;4.25;15.16;0.3;30;14.9268;6.58713;30;0;0;0
4;26;0;39.1204;0;0;0;0;16.0092;0.71907;0;0;0;0
