Obj;60
Time;2074.94
Vehicle;Orig;Dest;Dist;Rel;Dead;ServTime;DemDest;ArrTimeDest;ArrBattDest;ArrLoadDest;RecTime;PlugUsed;StartRecharging
1;0;25;38.1658;1.42;3.66;0.4;44;1.42;7.36684;415;0;0;0
1;25;23;1.77722;3.34;7.71;0.4;44;3.34;7.0114;371;0;0;0
1;23;28;2.26108;2.99;6.6;0.39;39;3.78522;6.55918;327;0;0;0
1;28;40;4.908;2.5;5.63;0.3;38;4.27338;5.57758;288;0;0;0
1;40;42;11.797;0;0;0;0;4.80932;3.21819;250;6.94714;1;4.80932
1;42;35;1.58685;7.65;13.12;0.38;42;11.7882;9.84796;250;0;0;0
1;35;36;2.43261;9.42;15.16;0.47;47;12.2169;9.36144;250;0;0;0
1;36;21;2.16622;9.47;16.31;0.39;39;12.7302;8.92819;203;0;0;0
1;21;29;2.20511;12.81;21.04;0.26;22;13.1643;8.48717;164;0;0;0
1;29;24;1.47122;12.61;20.96;0.52;47;13.4537;8.19293;142;0;0;0
1;24;38;2.36078;8.3;14.11;0.23;21;14.0209;7.72077;95;0;0;0
1;38;32;6.0408;14.03;23.02;0.29;32;14.3717;6.51261;74;0;0;0
1;32;0;32.5631;0;0;0;0;15.313;9.99997e-10;42;0;0;0
2;0;27;35.5587;4.33;8.78;0.26;33;4.33;7.88827;305;0;0;0
2;27;33;8.83147;5.33;9.62;0.28;28;5.33;6.12197;272;0;0;0
2;33;30;3.99441;2.53;5.96;0.28;31;5.68989;5.32309;244;0;0;0
2;30;31;5.60736;10.61;17.16;0.26;33;10.61;4.20162;213;0;0;0
2;31;22;1.70581;6.25;12.35;0.29;32;10.9041;3.86046;180;0;0;0
2;22;39;3.87796;12.89;20.62;0.41;37;12.89;3.08486;148;0;0;0
2;39;26;1.90672;15.69;25.95;0.41;41;15.69;2.70352;111;0;0;0
2;26;34;2.39794;10.99;18.49;0.3;27;16.148;2.22393;70;0;0;0
2;34;37;3.4442;9.23;16.72;0.47;43;16.5168;1.53509;43;0;0;0
2;37;42;6.76406;0;0;0;0;17.1221;0.182279;0;6.54918;1;17.1221
2;42;0;33.6573;0;0;0;0;24.3444;1e-09;0;0;0;0
3;0;18;33.6281;1.06;2.68;0.21;21;1.06;8.27437;208;0;0;0
3;18;17;6.25519;1.48;4.07;0.29;32;1.48;7.02334;187;0;0;0
3;17;16;2.30243;3.54;7.11;0.31;39;3.54;6.56285;155;0;0;0
3;16;12;0.386005;12.54;20.48;0.26;26;12.54;6.48565;116;0;0;0
3;12;10;1.93396;12.85;20.76;0.23;29;12.85;6.09886;90;0;0;0
3;10;11;3.4464;11.3;17.99;0.48;40;13.1489;5.40957;61;0;0;0
3;11;4;4.29773;7.44;13.8;0.19;21;13.7149;4.55003;21;0;0;0
3;4;41;3.19762;0;0;0;0;13.9688;3.9105;0;2.82095;1;13.9688
3;41;0;33.6573;0;0;0;0;17.4629;9.99999e-10;0;0;0;0
4;0;13;33.3898;5.8;11.23;0.45;50;5.8;8.32205;440;0;0;0
4;13;8;1.06963;5.28;9;0.3;25;6.27139;8.10812;390;0;0;0
4;8;7;4.82979;3.74;7.08;0.48;48;6.66799;7.14216;365;0;0;0
4;7;19;2.33549;3.95;7.32;0.47;39;7.1947;6.67507;317;0;0;0
4;19;14;2.69208;6.9;11.78;0.17;21;7.71854;6.13665;278;0;0;0
4;14;20;2.28633;10.03;16.51;0.29;26;10.03;5.67938;257;0;0;0
4;20;5;1.64076;7.71;13.32;0.4;40;10.3528;5.35123;231;0;0;0
4;5;2;0.588558;9.04;16.54;0.22;24;10.7646;5.23352;191;0;0;0
4;2;3;4.65305;14.99;25.11;0.52;43;14.99;4.30291;167;0;0;0
4;3;15;3.41984;9.5;15.69;0.28;35;15.5784;3.61894;124;0;0;0
4;15;1;3.51729;14.38;23.33;0.41;46;15.9287;2.91549;89;0;0;0
4;1;6;7.35358;11.66;18.97;0.23;21;16.4858;1.44477;43;0;0;0
4;6;9;1.96163;9.33;16.88;0.24;22;16.755;1.05244;22;0;0;0
4;9;41;5.00712;0;0;0;0;17.0952;0.0510168;0;6.68044;1;17.0952
4;41;0;33.6573;0;0;0;0;24.4488;9.99999e-10;0;0;0;0
