Obj;60
Time;1897.5
Vehicle;Orig;Dest;Dist;Rel;Dead;ServTime;DemDest;ArrTimeDest;ArrBattDest;ArrLoadDest;RecTime;PlugUsed;StartRecharging
1;0;30;34.6102;7.3;12.75;0.56;47;7.3;8.80847;412;0;0;0
1;30;6;22.132;9.48;17.07;0.49;41;9.48;5.48867;365;0;0;0
1;6;2;5.71896;6.8;12.92;0.38;48;10.0844;4.63083;324;0;0;0
1;2;3;0.939415;8.06;14.23;0.21;21;10.4832;4.48991;276;0;0;0
1;3;15;2.39084;9.26;15.22;0.3;30;10.741;4.13129;255;0;0;0
1;15;5;2.05119;9.14;15.98;0.45;50;11.082;3.82361;225;0;0;0
1;5;9;0.332415;12.18;19.67;0.43;43;12.18;3.77375;175;0;0;0
1;9;31;9.18375;0;0;0;0;12.7937;2.39619;132;2.94084;1;12.7937
1;31;7;8.79842;14.04;22.39;0.25;31;15.9105;6.95811;132;0;0;0
1;7;20;28.2948;10.03;16.77;0.34;31;16.7264;2.71389;132;0;0;0
1;20;29;6.40666;15.72;24.71;0.49;41;17.1945;1.75289;101;0;0;0
1;29;28;2.31262;13.12;21.12;0.26;29;17.7308;1.406;60;0;0;0
1;28;32;9.37331;0;0;0;0;18.1782;1e-09;31;2.09631;1;18.1782
1;32;0;27.9508;0;0;0;0;20.8336;1e-09;31;0;0;0
2;0;14;36.493;3.7;7.58;0.42;38;3.7;8.52606;255;0;0;0
2;14;11;7.33567;3.84;8.48;0.38;42;4.26671;7.4257;217;0;0;0
2;11;8;7.78723;3.9;7.34;0.28;35;4.80246;6.25762;175;0;0;0
2;8;1;1.34373;13.62;22.17;0.28;23;13.62;6.05606;140;0;0;0
2;1;13;1.1789;9.53;16.43;0.41;34;13.9236;5.87923;117;0;0;0
2;13;12;0.90802;14.37;24.48;0.45;41;14.37;5.74302;83;0;0;0
2;12;10;1.48661;15.68;25.94;0.19;21;15.68;5.52003;42;0;0;0
2;10;4;4.98262;11.52;20.2;0.17;21;15.9697;4.77264;21;0;0;0
2;4;31;12.3556;0;0;0;0;16.3868;2.9193;0;0.636661;1;16.3868
2;31;0;27.9508;0;0;0;0;17.5824;1e-09;0;0;0;0
3;0;0;0;0;0;0;0;0;14;0;0;0;0
4;0;32;27.9508;0;0;0;0;0.559017;9.80737;385;1.78862;1;0.559017
4;32;18;18.1784;1.67;4.14;0.53;48;2.71121;10.6579;385;0;0;0
4;18;21;3.91234;3.19;7.61;0.27;30;3.31946;10.071;385;0;0;0
4;21;27;2.7128;6.01;11.95;0.34;31;6.01;9.66408;355;0;0;0
4;27;25;6.93808;3.46;6.95;0.48;48;6.48876;8.62337;324;0;0;0
4;25;17;1.07787;4.19;8.53;0.29;32;6.99032;8.46169;276;0;0;0
4;17;23;2.30853;11.14;19.19;0.28;35;11.14;8.11541;244;0;0;0
4;23;16;6.22939;8.5;14.82;0.28;25;11.5446;7.181;209;0;0;0
4;16;24;6.66802;13.4;22.14;0.49;45;13.4;6.1808;184;0;0;0
4;24;26;1.8025;13.21;21.16;0.38;42;13.926;5.91043;139;0;0;0
4;26;19;1.51819;9.03;15.2;0.3;27;14.3364;5.6827;97;0;0;0
4;19;22;3.15729;10.69;18.36;0.2;22;14.6996;5.2091;70;0;0;0
4;22;0;34.7274;0;0;0;0;15.5941;1e-09;48;0;0;0
