Obj;60
Time;2066.31
Vehicle;Orig;Dest;Dist;Rel;Dead;ServTime;DemDest;ArrTimeDest;ArrBattDest;ArrLoadDest;RecTime;PlugUsed;StartRecharging
1;0;31;37.5704;1.79;5.57;0.33;33;1.79;7.48592;276;0;0;0
1;31;36;2.26771;4.68;8.72;0.25;28;4.68;7.03238;243;0;0;0
1;36;33;2.99817;4.12;7.37;0.42;38;4.98996;6.43275;215;0;0;0
1;33;40;1.5373;3.7;6.81;0.48;40;5.44071;6.12528;177;0;0;0
1;40;34;1.68467;7.48;12.77;0.36;33;7.48;5.78835;137;0;0;0
1;34;25;5.09039;6.13;11.32;0.3;25;7.94181;4.77027;104;0;0;0
1;25;39;4.95235;6.84;11.82;0.27;30;8.34085;3.7798;79;0;0;0
1;39;37;0.155242;9.47;16.3;0.2;22;9.47;3.74875;49;0;0;0
1;37;26;8.25681;13.85;22.96;0.27;27;13.85;2.09739;27;0;0;0
1;26;42;4.44072;0;0;0;0;14.2088;1.20925;0;5.52221;1;14.2088
1;42;0;33.6573;0;0;0;0;20.4042;1e-09;0;0;0;0
2;0;32;36.8423;3.79;7.42;0.29;36;3.79;7.63154;359;0;0;0
2;32;35;5.35023;2.75;6.12;0.2;22;4.187;6.56149;323;0;0;0
2;35;21;1.7646;1.75;4.51;0.3;33;4.4223;6.20857;301;0;0;0
2;21;22;2.11514;11.5;19.65;0.29;36;11.5;5.78554;268;0;0;0
2;22;38;2.41019;7.38;12.85;0.34;42;11.8382;5.30351;232;0;0;0
2;38;29;3.5617;8.53;13.84;0.43;43;12.2494;4.59117;190;0;0;0
2;29;30;4.67239;7.79;14.5;0.21;21;12.7729;3.65669;147;0;0;0
2;30;23;2.95002;8.63;15.17;0.48;40;13.0419;3.06669;126;0;0;0
2;23;24;5.69994;12.11;20.77;0.37;34;13.6359;1.9267;86;0;0;0
2;24;28;1.21631;11.32;18.2;0.2;20;14.0302;1.68344;52;0;0;0
2;28;27;3.81997;8.64;15.67;0.32;32;14.3066;0.919442;32;0;0;0
2;27;42;2.71503;0;0;0;0;14.6809;0.376436;0;6.35502;1;19.731
2;42;0;33.6573;0;0;0;0;26.7592;1e-09;0;0;0;0
3;0;14;35.3012;1.13;4.39;0.41;46;1.13;7.93975;200;0;0;0
3;14;1;2.85671;4.47;7.85;0.45;45;4.47;7.36841;154;0;0;0
3;1;5;3.29601;9.48;16.53;0.37;41;9.48;6.70921;109;0;0;0
3;5;2;1.61037;8.38;13.82;0.43;48;9.88221;6.38713;68;0;0;0
3;2;9;3.41217;14.5;23.36;0.22;20;14.5;5.7047;20;0;0;0
3;9;41;1.47122;0;0;0;0;14.7494;5.41045;0;1.321;1;14.7494
3;41;0;33.6573;0;0;0;0;16.7436;1e-09;0;0;0;0
4;0;17;34.4515;2.18;5.18;0.49;49;2.18;8.10969;563;0;0;0
4;17;41;0.920054;0;0;0;0;2.6884;7.92568;514;2.72287;1;2.6884
4;41;3;1.73349;7.04;11.75;0.37;41;7.04;10.3019;514;0;0;0
4;3;11;3.66886;6.54;11.99;0.33;33;7.48338;9.56808;514;0;0;0
4;11;16;6.19367;6.19;10.95;0.42;42;7.93725;8.32935;481;0;0;0
4;16;7;7.62971;5.67;9.67;0.34;34;8.50984;6.80341;439;0;0;0
4;7;19;2.76928;7.08;13.49;0.43;43;8.90523;6.24955;405;0;0;0
4;19;8;0.31305;10.39;17.12;0.48;44;10.39;6.18694;362;0;0;0
4;8;6;1.81838;10.83;18.64;0.23;26;10.9064;5.82326;318;0;0;0
4;6;18;3.5813;10.87;18.44;0.27;30;11.208;5.107;292;0;0;0
4;18;20;1.69003;6.53;12.7;0.38;47;11.5118;4.769;262;0;0;0
4;20;13;1.28004;15.03;25.03;0.33;33;15.03;4.51299;215;0;0;0
4;13;4;8.08367;11.77;19.33;0.35;44;15.5217;2.89626;182;0;0;0
4;4;10;4.33531;11.62;19.09;0.44;37;15.9584;2.02919;138;0;0;0
4;10;12;0.785175;14.59;23.41;0.25;21;16.4141;1.87216;101;0;0;0
4;12;15;4.11156;11.37;19.17;0.43;39;16.7463;1.04985;80;0;0;0
4;15;41;5.24924;0;0;0;0;17.2813;1e-09;41;6.73146;1;17.2813
4;41;0;33.6573;0;0;0;0;24.6859;1e-09;41;0;0;0
